Year,Name,RushYDs,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,REC_YACR,TotalYards,TotalTDs,Age,Pos
2015,Josh Hill,0.0,0.0,0.0,16.0,120.0,2.0,30.0,78.0,120.0,2.0,25.0,TE
2015,Josh Huff,0.0,0.0,0.0,27.0,312.0,3.0,40.0,185.0,312.0,3.0,24.0,WR
2015,Julian Edelman,23.0,3.0,0.0,61.0,692.0,7.0,88.0,327.0,715.0,7.0,29.0,WR
2015,Julio Jones,0.0,0.0,0.0,136.0,1871.0,8.0,204.0,665.0,1871.0,8.0,Unknown,WR
2015,Julius Thomas,0.0,0.0,0.0,46.0,455.0,5.0,79.0,143.0,455.0,5.0,27.0,TE
2015,Justin Forsett,641.0,151.0,2.0,31.0,153.0,0.0,41.0,141.0,794.0,2.0,30.0,RB
2015,Justin Hardy,0.0,0.0,0.0,21.0,194.0,0.0,36.0,64.0,194.0,0.0,Unknown,WR
2015,Justin Hunter,0.0,0.0,0.0,22.0,264.0,1.0,31.0,36.0,264.0,1.0,24.0,WR
2015,Justin Perillo,0.0,0.0,0.0,11.0,102.0,1.0,13.0,22.0,102.0,1.0,24.0,TE
2015,Juwan Thompson,48.0,18.0,0.0,6.0,51.0,0.0,9.0,69.0,99.0,0.0,Unknown,RB
2015,Ka'Deem Carey,159.0,43.0,2.0,3.0,19.0,1.0,3.0,9.0,178.0,3.0,23.0,RB
2015,Kamar Aiken,0.0,0.0,0.0,75.0,944.0,5.0,127.0,225.0,944.0,5.0,26.0,WR
2015,Karlos Williams,517.0,93.0,7.0,11.0,96.0,2.0,14.0,50.0,613.0,9.0,22.0,RB
2015,Keenan Allen,0.0,0.0,0.0,67.0,725.0,4.0,89.0,261.0,725.0,4.0,23.0,WR
2015,Kellen Davis,0.0,0.0,0.0,3.0,18.0,1.0,11.0,11.0,18.0,1.0,30.0,TE
2015,Kendall Wright,17.0,5.0,0.0,36.0,408.0,3.0,61.0,160.0,425.0,3.0,26.0,WR
2015,Kenjon Barner,124.0,28.0,0.0,9.0,22.0,0.0,12.0,47.0,146.0,0.0,Unknown,RB
2015,Kenny Britt,0.0,0.0,0.0,36.0,681.0,3.0,72.0,120.0,681.0,3.0,27.0,WR
2015,Kenny Stills,0.0,0.0,0.0,27.0,440.0,3.0,63.0,109.0,440.0,3.0,23.0,WR
2015,Kerwynn Williams,142.0,27.0,1.0,2.0,16.0,0.0,2.0,7.0,158.0,1.0,24.0,RB
2015,Keshawn Martin,6.0,1.0,0.0,24.0,269.0,2.0,37.0,79.0,275.0,2.0,25.0,WR
2015,Khiry Robinson,180.0,56.0,4.0,17.0,115.0,0.0,20.0,152.0,295.0,4.0,26.0,RB
2015,Knile Davis,72.0,28.0,1.0,2.0,24.0,0.0,3.0,24.0,96.0,1.0,24.0,RB
2015,Kyle Juszczyk,3.0,2.0,0.0,41.0,321.0,4.0,56.0,270.0,324.0,4.0,24.0,RB
2015,Kyle Rudolph,0.0,0.0,0.0,49.0,495.0,5.0,71.0,211.0,495.0,5.0,26.0,TE
2015,Ladarius Green,0.0,0.0,0.0,37.0,429.0,4.0,63.0,224.0,429.0,4.0,25.0,TE
